rank_share,journal_key,full_title,gwas_hits,total_articles,fraction_gwas
134,Biodemography Soc Biol,Biodemography and social biology,9,280,0.032143
135,Glob Med Genet,Global medical genetics,8,249,0.032129
136,JAMA Psychiatry,JAMA psychiatry,100,3115,0.032103
137,Plant Direct,Plant direct,23,718,0.032033
138,Rev Diabet Stud,The review of diabetic studies : RDS,10,313,0.031949
139,Hereditas,Hereditas,26,825,0.031515
140,EBioMedicine,EBioMedicine,190,6039,0.031462
141,Brain Behav,Brain and behavior,144,4580,0.031441
142,Curr Behav Neurosci Rep,Current behavioral neuroscience reports,3,96,0.031250
143,eGastroenterology,eGastroenterology,3,96,0.031250
144,BMC Med,BMC medicine,169,5432,0.031112
145,Intelligence,Intelligence,3,97,0.030928
146,Addict Biol,Addiction biology,58,1907,0.030414
147,OMICS,Omics : a journal of integrative biology,39,1289,0.030256
148,J Genet Genomics,Journal of genetics and genomics = Yi chuan xue bao,59,1951,0.030241
149,Source Code Biol Med,Source code for biology and medicine,5,166,0.030120
150,Nihon Shinkei Seishin Yakurigaku Zasshi,Nihon shinkei seishin yakurigaku zasshi = Japanese journal of psychopharmacology,9,303,0.029703
151,Int J Data Min Bioinform,International journal of data mining and bioinformatics,11,371,0.029650
152,J Genet,Journal of genetics,50,1687,0.029638
153,Curr Opin Rheumatol,Current opinion in rheumatology,50,1699,0.029429
154,J Addict Res Ther,Journal of addiction research & therapy,2,68,0.029412
155,J Alzheimers Dis Rep,Journal of Alzheimer's disease reports,20,684,0.029240
156,Cold Spring Harb Mol Case Stud,Cold Spring Harbor molecular case studies,14,479,0.029228
157,Bioinform Adv,Bioinformatics advances,25,857,0.029172
158,Stat Biosci,Statistics in biosciences,6,208,0.028846
159,Hum Mutat,Human mutation,98,3398,0.028840
160,Meta Gene,Meta gene,7,243,0.028807
161,NPJ Parkinsons Dis,NPJ Parkinson's disease,37,1297,0.028527
162,Front Plant Sci,Frontiers in plant science,931,32726,0.028448
163,Annu Rev Genet,Annual review of genetics,13,457,0.028446
164,Alzheimers Dement,Alzheimer's & dementia : the journal of the Alzheimer's Association,133,4683,0.028401
165,Ann Appl Stat,The annals of applied statistics,14,493,0.028398
166,Schizophr Bull,Schizophrenia bulletin,96,3451,0.027818
167,Mol Autism,Molecular autism,24,863,0.027810
168,Mol Neurodegener,Molecular neurodegeneration,37,1341,0.027591
169,BMC Bioinformatics,BMC bioinformatics,307,11256,0.027274
170,Adv Genet (Hoboken),"Advanced genetics (Hoboken, N.J.)",3,110,0.027273
171,Int J Genomics,International journal of genomics,20,735,0.027211
172,Schizophrenia (Heidelb),"Schizophrenia (Heidelberg, Germany)",14,518,0.027027
173,Public Health Genomics,Public health genomics,16,593,0.026981
174,Cold Spring Harb Perspect Med,Cold Spring Harbor perspectives in medicine,35,1312,0.026677
175,Gene,Gene,334,12570,0.026571
176,Mol Hortic,Molecular horticulture,5,189,0.026455
177,Epigenetics Chromatin,Epigenetics & chromatin,22,834,0.026379
178,J Psychiatry Neurosci,Journal of psychiatry & neuroscience : JPN,26,990,0.026263
179,J Anim Sci Biotechnol,Journal of animal science and biotechnology,38,1470,0.025850
180,Mar Biotechnol (NY),"Marine biotechnology (New York, N.Y.)",41,1590,0.025786
181,Arch Anim Breed,Archives animal breeding,7,273,0.025641
182,Prog Neuropsychopharmacol Biol Psychiatry,Progress in neuro-psychopharmacology & biological psychiatry,120,4694,0.025565
183,J Am Stat Assoc,Journal of the American Statistical Association,22,861,0.025552
184,J Comput Biol,Journal of computational biology : a journal of computational molecular cell biology,49,1930,0.025389
185,Semin Liver Dis,Seminars in liver disease,20,790,0.025316
186,Med Genet,Medizinische Genetik : Mitteilungsblatt des Berufsverbandes Medizinische Genetik e.V,7,277,0.025271
187,Nat Hum Behav,Nature human behaviour,55,2179,0.025241
188,Alzheimers Res Ther,Alzheimer's research & therapy,54,2148,0.025140
189,Commun Biol,Communications biology,239,9531,0.025076
190,Cancer Inform,Cancer informatics,17,678,0.025074
191,KDD,KDD : proceedings. International Conference on Knowledge Discovery & Data Mining,2,80,0.025000
192,Mol Plant,Molecular plant,72,2908,0.024759
193,Eur J Epidemiol,European journal of epidemiology,54,2191,0.024646
194,Endocr Rev,Endocrine reviews,17,691,0.024602
195,Microb Genom,Microbial genomics,38,1565,0.024281
196,Hum Biol,Human biology,12,498,0.024096
197,Curr Atheroscler Rep,Current atherosclerosis reports,37,1540,0.024026
198,Plant J,The Plant journal : for cell and molecular biology,186,7747,0.024009
199,Glob Health Epidemiol Genom,"Global health, epidemiology and genomics",3,125,0.024000
200,Birth Defects Res A Clin Mol Teratol,"Birth defects research. Part A, Clinical and molecular teratology",24,1012,0.023715
201,Int J Obes (Lond),International journal of obesity (2005),116,4902,0.023664
202,For Res (Fayettev),Forestry research,3,129,0.023256
203,Yi Chuan,Yi chuan = Hereditas,61,2624,0.023247
204,Nat Sci Sleep,Nature and science of sleep,29,1261,0.022998
205,Biomed Inform Insights,Biomedical informatics insights,2,87,0.022989
206,Psychol Med,Psychological medicine,140,6101,0.022947
207,Arch Gen Psychiatry,Archives of general psychiatry,21,921,0.022801
208,JOR Spine,JOR spine,11,483,0.022774
209,Funct Integr Genomics,Functional & integrative genomics,40,1758,0.022753
210,IARC Sci Publ,IARC scientific publications,2,88,0.022727
211,Bonekey Rep,BoneKEy reports,12,532,0.022556
212,Inflamm Regen,Inflammation and regeneration,9,401,0.022444
213,Am J Psychiatry,The American journal of psychiatry,98,4425,0.022147
214,Zool Res,Zoological research,18,814,0.022113
215,Dialogues Clin Neurosci,Dialogues in clinical neuroscience,14,634,0.022082
216,Int J Cardiol Cardiovasc Risk Prev,International journal of cardiology. Cardiovascular risk and prevention,10,453,0.022075
217,J Bioinform Comput Biol,Journal of bioinformatics and computational biology,23,1042,0.022073
218,Anim Biotechnol,Animal biotechnology,32,1456,0.021978
219,Breast Cancer Res,Breast cancer research : BCR,69,3146,0.021933
220,Curr Opin Allergy Clin Immunol,Current opinion in allergy and clinical immunology,36,1645,0.021884
221,Front Endocrinol (Lausanne),Frontiers in endocrinology,405,18514,0.021875
222,Clin Cosmet Investig Dermatol,"Clinical, cosmetic and investigational dermatology",49,2256,0.021720
223,Arterioscler Thromb Vasc Biol,"Arteriosclerosis, thrombosis, and vascular biology",137,6309,0.021715
224,Genome,Genome,34,1568,0.021684
225,Curr Rheumatol Rep,Current rheumatology reports,29,1339,0.021658
226,Am J Neurodegener Dis,American journal of neurodegenerative disease,3,139,0.021583
227,Annu Rev Nurs Res,Annual review of nursing research,4,186,0.021505
228,Neuropsychopharmacology,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,119,5579,0.021330
229,Cell,Cell,221,10431,0.021187
230,Res Sq,Research square,129,6090,0.021182
231,Neuromolecular Med,Neuromolecular medicine,19,899,0.021135
232,Clin Genet,Clinical genetics,81,3836,0.021116
233,Annu Rev Med,Annual review of medicine,14,664,0.021084
234,Eur Arch Psychiatry Clin Neurosci,European archives of psychiatry and clinical neuroscience,50,2374,0.021061
235,Genetica,Genetica,25,1187,0.021061
236,Nat Ment Health,Nature. Mental health,2,96,0.020833
237,Adv Ophthalmol Pract Res,Advances in ophthalmology practice and research,3,146,0.020548
238,Int J Comput Biol Drug Des,International journal of computational biology and drug design,4,195,0.020513
239,NPJ Aging,npj aging,5,245,0.020408
240,Gen Psychiatr,General psychiatry,10,491,0.020367
241,Mol Carcinog,Molecular carcinogenesis,54,2653,0.020354
242,Diabetol Metab Syndr,Diabetology & metabolic syndrome,50,2488,0.020096
243,Anim Biosci,Animal bioscience,23,1146,0.020070
244,Genet Test Mol Biomarkers,Genetic testing and molecular biomarkers,42,2096,0.020038
245,Database (Oxford),Database : the journal of biological databases and curation,35,1755,0.019943
246,Immunotargets Ther,ImmunoTargets and therapy,6,302,0.019868
247,AMIA Jt Summits Transl Sci Proc,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,18,907,0.019846
248,Hum Genome Var,Human genome variation,10,504,0.019841
249,BMJ Ment Health,BMJ mental health,6,303,0.019802
250,Neuropsychobiology,Neuropsychobiology,18,916,0.019651
251,Curr Oral Health Rep,Current oral health reports,1,51,0.019608
252,Stat Anal Data Min,Statistical analysis and data mining,1,51,0.019608
253,NPJ Sci Learn,NPJ science of learning,8,409,0.019560
254,Psychiatr Clin North Am,The Psychiatric clinics of North America,20,1023,0.019550
255,Stress Biol,Stress biology,5,256,0.019531
256,Novartis Found Symp,Novartis Foundation symposium,4,205,0.019512
257,Genes Chromosomes Cancer,"Genes, chromosomes & cancer",35,1801,0.019434
258,Ophthalmol Sci,Ophthalmology science,17,883,0.019253
259,Future Neurol,Future neurology,2,104,0.019231
260,Juntendo Med J,Juntendo medical journal,1,52,0.019231
261,Self Nonself,Self/nonself,1,52,0.019231
262,J Psychiatr Res,Journal of psychiatric research,124,6453,0.019216
263,Arch Dermatol Res,Archives of dermatological research,68,3542,0.019198
264,Arthritis Rheumatol,"Arthritis & rheumatology (Hoboken, N.J.)",82,4280,0.019159
265,J Allergy Clin Immunol,The Journal of allergy and clinical immunology,184,9625,0.019117
266,Mutagenesis,Mutagenesis,21,1109,0.018936
267,Medicine (Baltimore),Medicine,881,46531,0.018934
268,Arthritis Res Ther,Arthritis research & therapy,104,5495,0.018926
269,Nutr Metab Cardiovasc Dis,"Nutrition, metabolism, and cardiovascular diseases : NMCD",75,3975,0.018868
270,NPP Digit Psychiatry Neurosci,NPP - digital psychiatry and neuroscience,1,53,0.018868
271,Geroscience,GeroScience,40,2121,0.018859
272,BMJ Med,BMJ medicine,4,213,0.018779
273,Ann Stat,Annals of statistics,3,160,0.018750
274,Mol Genet Genomic Med,Molecular genetics & genomic medicine,47,2508,0.018740
275,Skin Res Technol,Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI),45,2407,0.018695
276,Adv Appl Bioinform Chem,Advances and applications in bioinformatics and chemistry : AABC,2,107,0.018692
277,Ann Rheum Dis,Annals of the rheumatic diseases,145,7760,0.018686
278,Mol Metab,Molecular metabolism,40,2149,0.018613
279,Cancer Genet,Cancer genetics,21,1136,0.018486
280,Int J Bipolar Disord,International journal of bipolar disorders,8,435,0.018391
281,Brain Commun,Brain communications,42,2285,0.018381
282,Kidney Dis (Basel),"Kidney diseases (Basel, Switzerland)",8,436,0.018349
283,Acta Neuropathol,Acta neuropathologica,50,2726,0.018342
284,Semin Immunopathol,Seminars in immunopathology,18,989,0.018200
285,Clin Rev Allergy Immunol,Clinical reviews in allergy & immunology,21,1154,0.018198
286,Adv Cardiol,Advances in cardiology,1,55,0.018182
287,Psychiatry Clin Psychopharmacol,Psychiatry and clinical psychopharmacology,5,276,0.018116
288,Int J Womens Health,International journal of women's health,39,2155,0.018097
289,J Headache Pain,The journal of headache and pain,48,2661,0.018038
290,Health Data Sci,Health data science,2,111,0.018018
291,J Prev Alzheimers Dis,The journal of prevention of Alzheimer's disease,20,1115,0.017937
292,J Rheumatol Suppl,The Journal of rheumatology. Supplement,4,223,0.017937
293,J Integr Plant Biol,Journal of integrative plant biology,42,2342,0.017933
294,Nat Neurosci,Nature neuroscience,93,5195,0.017902
295,Curr Osteoporos Rep,Current osteoporosis reports,18,1006,0.017893
296,J Anim Sci Technol,Journal of animal science and technology,15,839,0.017878
297,Plant Cell Environ,"Plant, cell & environment",85,4755,0.017876
298,Can J Stat,The Canadian journal of statistics = Revue canadienne de statistique,1,56,0.017857
299,J Integr Bioinform,Journal of integrative bioinformatics,8,452,0.017699
300,Alcohol Res,Alcohol research : current reviews,4,226,0.017699
301,J Stud Alcohol Drugs Suppl,Journal of studies on alcohol and drugs. Supplement,1,57,0.017544
302,Mach Learn,Machine learning,1,57,0.017544
303,J Invest Dermatol,The Journal of investigative dermatology,144,8214,0.017531
304,Imeta,iMeta,6,345,0.017391
305,Schizophr Res,Schizophrenia research,137,7897,0.017348
306,Per Med,Personalized medicine,22,1269,0.017336
307,Med Sport Sci,Medicine and sport science,3,174,0.017241
308,J Natl Cancer Inst,Journal of the National Cancer Institute,101,5897,0.017127
309,J Hered,The Journal of heredity,29,1695,0.017109
310,Int J Cancer,International journal of cancer,204,11936,0.017091
311,Nat Aging,Nature aging,17,999,0.017017
312,Plant Sci,Plant science : an international journal of experimental plant biology,70,4118,0.016999
313,Obesity (Silver Spring),"Obesity (Silver Spring, Md.)",111,6541,0.016970
314,J Agric Biol Environ Stat,"Journal of agricultural, biological, and environmental statistics",1,59,0.016949
315,Nat Cardiovasc Res,Nature cardiovascular research,13,768,0.016927
316,aBIOTECH,aBIOTECH,4,237,0.016878
317,Genet Med,Genetics in medicine : official journal of the American College of Medical Genetics,65,3852,0.016874
318,Thromb J,Thrombosis journal,16,949,0.016860
319,J Bone Miner Res,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,81,4815,0.016822
320,Expert Rev Mol Med,Expert reviews in molecular medicine,8,477,0.016771
321,Int J Immunogenet,International journal of immunogenetics,18,1076,0.016729
322,Curr Mol Biol Rep,Current molecular biology reports,1,60,0.016667
323,Forum Nutr,Forum of nutrition,1,60,0.016667
324,J Affect Disord,Journal of affective disorders,294,17691,0.016619
325,Bioinform Biol Insights,Bioinformatics and biology insights,9,542,0.016605
326,Asian-Australas J Anim Sci,Asian-Australasian journal of animal sciences,34,2049,0.016593
327,Ann Neurol,Annals of neurology,80,4856,0.016474
328,Cell Syst,Cell systems,21,1282,0.016381
329,Semin Reprod Med,Seminars in reproductive medicine,16,979,0.016343
330,Clin Transl Immunology,Clinical & translational immunology,12,736,0.016304
331,Mol Neurobiol,Molecular neurobiology,124,7642,0.016226
332,Nat Rev Rheumatol,Nature reviews. Rheumatology,49,3025,0.016198
333,J Alzheimers Dis,Journal of Alzheimer's disease : JAD,188,11611,0.016192
334,Genes Genet Syst,Genes & genetic systems,11,680,0.016176
335,Annu Rev Nutr,Annual review of nutrition,6,371,0.016173
336,Curr Opin Cardiol,Current opinion in cardiology,28,1734,0.016148
337,Ophthalmic Genet,Ophthalmic genetics,26,1612,0.016129
338,Korean Diabetes J,Korean diabetes journal,1,62,0.016129
339,Curr Psychiatry Rep,Current psychiatry reports,29,1799,0.016120
340,Mol Vis,Molecular vision,50,3103,0.016113
341,JVS Vasc Sci,JVS-vascular science,3,187,0.016043
342,Precis Clin Med,Precision clinical medicine,4,250,0.016000
343,Brain,Brain : a journal of neurology,118,7416,0.015912
344,Dig Dis,"Digestive diseases (Basel, Switzerland)",29,1826,0.015882
345,J Anim Sci,Journal of animal science,146,9197,0.015875
346,Curr Opin Syst Biol,Current opinion in systems biology,2,126,0.015873
347,Investig Genet,Investigative genetics,2,126,0.015873
348,Atherosclerosis,Atherosclerosis,132,8323,0.015860
349,Biometrics,Biometrics,46,2901,0.015857
350,Addict Neurosci,Addiction neuroscience,2,127,0.015748
351,Aging Cell,Aging cell,51,3247,0.015707
352,Pigment Cell Melanoma Res,Pigment cell & melanoma research,26,1658,0.015682
353,J Intern Med,Journal of internal medicine,41,2621,0.015643
354,J Rheum Dis,Journal of rheumatic diseases,3,192,0.015625
355,Acta Epileptol,Acta epileptologica,2,128,0.015625
356,Blood Vessel Thromb Hemost,"Blood vessels, thrombosis & hemostasis",2,128,0.015625
357,Adv Immunol,Advances in immunology,6,385,0.015584
358,Comput Stat Data Anal,Computational statistics & data analysis,4,257,0.015564
359,Nat Commun,Nature communications,1295,83385,0.015530
360,J Transl Med,Journal of translational medicine,137,8830,0.015515
361,WIREs Mech Dis,WIREs mechanisms of disease,2,130,0.015385
362,BMC Syst Biol,BMC systems biology,30,1955,0.015345
363,J Dairy Sci,Journal of dairy science,240,15662,0.015324
364,Eur Neuropsychopharmacol,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,42,2758,0.015228
365,Animal,Animal : an international journal of animal bioscience,77,5071,0.015184
366,JBMR Plus,JBMR plus,15,988,0.015182
367,J Clin Endocrinol Metab,The Journal of clinical endocrinology and metabolism,231,15216,0.015181
368,Clin Pharmacol Ther,Clinical pharmacology and therapeutics,81,5339,0.015171
369,Mutat Res Rev Mutat Res,Mutation research. Reviews in mutation research,6,396,0.015152
370,J Transl Autoimmun,Journal of translational autoimmunity,5,330,0.015152
371,World Allergy Organ J,The World Allergy Organization journal,19,1261,0.015067
372,Trends Endocrinol Metab,Trends in endocrinology and metabolism: TEM,25,1666,0.015006
373,Br Med Bull,British medical bulletin,11,734,0.014986
374,Expert Rev Mol Diagn,Expert review of molecular diagnostics,29,1940,0.014948
375,PLoS Med,PLoS medicine,66,4435,0.014882
376,Glob Heart,Global heart,15,1008,0.014881
377,Prostate Cancer,Prostate cancer,3,202,0.014851
378,J Exp Bot,Journal of experimental botany,139,9394,0.014797
379,Circ Res,Circulation research,100,6762,0.014789
380,J Dent Res,Journal of dental research,57,3866,0.014744
381,Am J Epidemiol,American journal of epidemiology,94,6377,0.014740
382,Bipolar Disord,Bipolar disorders,29,1970,0.014721
383,Field Crops Res,Field crops research,1,68,0.014706
384,Trends Mol Med,Trends in molecular medicine,27,1842,0.014658
385,Hum Immunol,Human immunology,43,2934,0.014656
386,Orthop Res Rev,Orthopedic research and reviews,4,273,0.014652
387,Atheroscler Plus,Atherosclerosis plus,2,137,0.014599
388,Mol Biol Evol,Molecular biology and evolution,82,5623,0.014583
389,Semin Nephrol,Seminars in nephrology,17,1175,0.014468
390,Alpha Psychiatry,Alpha psychiatry,6,415,0.014458
391,Lipids Health Dis,Lipids in health and disease,57,3958,0.014401
392,Autoimmunity,Autoimmunity,18,1250,0.014400
393,Age (Dordr),"Age (Dordrecht, Netherlands)",13,907,0.014333
394,Expert Opin Med Diagn,Expert opinion on medical diagnostics,6,420,0.014286
395,Commun Stat Simul Comput,Communications in statistics: Simulation and computation,1,70,0.014286
396,IEEE/ACM Trans Comput Biol Bioinform,IEEE/ACM transactions on computational biology and bioinformatics,43,3013,0.014271
397,Am J Clin Exp Immunol,American journal of clinical and experimental immunology,3,211,0.014218
398,Prog Retin Eye Res,Progress in retinal and eye research,11,778,0.014139
399,Curr Top Behav Neurosci,Current topics in behavioral neurosciences,17,1206,0.014096
400,Curr Protoc,Current protocols,19,1350,0.014074
401,Front Cardiovasc Med,Frontiers in cardiovascular medicine,180,12845,0.014013
402,Open Rheumatol J,The open rheumatology journal,3,216,0.013889
403,Curr Transplant Rep,Current transplantation reports,2,144,0.013889
404,Arch Neurol,Archives of neurology,24,1732,0.013857
405,BMC Biol,BMC biology,44,3181,0.013832
406,Phytopathology,Phytopathology,49,3574,0.013710
