rank_volume,journal_key,full_title,gwas_hits,total_articles,fraction_gwas,meets_min_total
48,J Dairy Sci,Journal of dairy science,240,15662,0.015324,Y
49,Commun Biol,Communications biology,239,9531,0.025076,Y
50,Animals (Basel),Animals : an open access journal from MDPI,239,23094,0.010349,Y
51,J Clin Endocrinol Metab,The Journal of clinical endocrinology and metabolism,231,15216,0.015181,Y
52,BMC Med Genet,BMC medical genetics,229,2136,0.107210,Y
53,BMC Med Genomics,BMC medical genomics,229,2788,0.082138,Y
54,Neurobiol Aging,Neurobiology of aging,225,5410,0.041590,Y
55,Cell,Cell,221,10431,0.021187,Y
56,BMC Proc,BMC proceedings,207,1255,0.164940,Y
57,Int J Cancer,International journal of cancer,204,11936,0.017091,Y
58,Diabetologia,Diabetologia,202,5856,0.034495,Y
59,Circ Cardiovasc Genet,Circulation. Cardiovascular genetics,199,961,0.207076,Y
60,Genome Res,Genome research,198,3645,0.054321,Y
61,Nutrients,Nutrients,197,36641,0.005376,Y
62,Oncotarget,Oncotarget,196,26675,0.007348,Y
63,Discov Oncol,Discover oncology,195,3988,0.048897,Y
64,Pharmacogenomics,Pharmacogenomics,191,2799,0.068239,Y
65,EBioMedicine,EBioMedicine,190,6039,0.031462,Y
66,J Alzheimers Dis,Journal of Alzheimer's disease : JAD,188,11611,0.016192,Y
67,Plant J,The Plant journal : for cell and molecular biology,186,7747,0.024009,Y
68,J Allergy Clin Immunol,The Journal of allergy and clinical immunology,184,9625,0.019117,Y
69,Elife,eLife,184,18793,0.009791,Y
70,Brief Bioinform,Briefings in bioinformatics,182,4973,0.036598,Y
71,Front Cardiovasc Med,Frontiers in cardiovascular medicine,180,12845,0.014013,Y
72,Front Microbiol,Frontiers in microbiology,177,38815,0.004560,Y
73,Blood,Blood,174,23077,0.007540,Y
74,Epigenetics,Epigenetics,172,2048,0.083984,Y
75,BMC Med,BMC medicine,169,5432,0.031112,Y
76,Genomics,Genomics,167,3348,0.049881,Y
77,Plant Biotechnol J,Plant biotechnology journal,167,3505,0.047646,Y
78,Nat Rev Genet,Nature reviews. Genetics,165,2424,0.068069,Y
79,Int J Epidemiol,International journal of epidemiology,165,4859,0.033958,Y
80,Carcinogenesis,Carcinogenesis,163,3941,0.041360,Y
81,Front Nutr,Frontiers in nutrition,160,12292,0.013017,Y
82,Hum Hered,Human heredity,156,556,0.280576,Y
83,Mol Biol Rep,Molecular biology reports,152,12281,0.012377,Y
84,Mol Genet Genomics,Molecular genetics and genomics : MGG,146,2127,0.068641,Y
85,J Anim Sci,Journal of animal science,146,9197,0.015875,Y
86,Ann Rheum Dis,Annals of the rheumatic diseases,145,7760,0.018686,Y
87,Science,"Science (New York, N.Y.)",145,39110,0.003707,Y
88,Brain Behav,Brain and behavior,144,4580,0.031441,Y
89,J Invest Dermatol,The Journal of investigative dermatology,144,8214,0.017531,Y
90,Genes Immun,Genes and immunity,142,1200,0.118333,Y
91,Psychol Med,Psychological medicine,140,6101,0.022947,Y
92,New Phytol,The New phytologist,140,11419,0.012260,Y
93,Invest Ophthalmol Vis Sci,Investigative ophthalmology & visual science,140,14781,0.009472,Y
94,J Exp Bot,Journal of experimental botany,139,9394,0.014797,Y
95,Cancer Res,Cancer research,138,13657,0.010105,Y
96,Ann Hum Genet,Annals of human genetics,137,991,0.138244,Y
97,Arterioscler Thromb Vasc Biol,"Arteriosclerosis, thrombosis, and vascular biology",137,6309,0.021715,Y
98,Schizophr Res,Schizophrenia research,137,7897,0.017348,Y
99,J Transl Med,Journal of translational medicine,137,8830,0.015515,Y
100,PLoS Comput Biol,PLoS computational biology,137,11667,0.011743,Y
101,Alzheimers Dement,Alzheimer's & dementia : the journal of the Alzheimer's Association,133,4683,0.028401,Y
102,Front Psychiatry,Frontiers in psychiatry,133,17215,0.007726,Y
103,Atherosclerosis,Atherosclerosis,132,8323,0.015860,Y
104,J Med Genet,Journal of medical genetics,130,2476,0.052504,Y
105,Hortic Res,Horticulture research,129,2119,0.060878,Y
106,Res Sq,Research square,129,6090,0.021182,Y
107,Front Med (Lausanne),Frontiers in medicine,129,20017,0.006445,Y
108,Neurology,Neurology,129,21059,0.006126,Y
109,Circ Genom Precis Med,Circulation. Genomic and precision medicine,128,764,0.167539,Y
110,J Am Heart Assoc,Journal of the American Heart Association,127,11688,0.010866,Y
111,HGG Adv,HGG advances,126,457,0.275711,Y
112,BMC Cancer,BMC cancer,126,19057,0.006612,Y
113,Front Neurol,Frontiers in neurology,126,19495,0.006463,Y
114,Stroke,Stroke,125,12671,0.009865,Y
115,J Psychiatr Res,Journal of psychiatric research,124,6453,0.019216,Y
116,Mol Neurobiol,Molecular neurobiology,124,7642,0.016226,Y
117,Prog Neuropsychopharmacol Biol Psychiatry,Progress in neuro-psychopharmacology & biological psychiatry,120,4694,0.025565,Y
118,Gastroenterology,Gastroenterology,120,11916,0.010070,Y
119,Psychiatry Res,Psychiatry research,120,11996,0.010003,Y
120,Neuropsychopharmacology,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,119,5579,0.021330,Y
121,Pharmacogenomics J,The pharmacogenomics journal,118,1156,0.102076,Y
122,Brain,Brain : a journal of neurology,118,7416,0.015912,Y
123,Int J Obes (Lond),International journal of obesity (2005),116,4902,0.023664,Y
124,Plant Physiol,Plant physiology,114,10540,0.010816,Y
125,Hum Genomics,Human genomics,112,1060,0.105660,Y
126,Twin Res Hum Genet,Twin research and human genetics : the official journal of the International Society for Twin Studies,112,1390,0.080576,Y
127,Cell Rep,Cell reports,112,16069,0.006970,Y
128,Behav Genet,Behavior genetics,111,1042,0.106526,Y
129,Obesity (Silver Spring),"Obesity (Silver Spring, Md.)",111,6541,0.016970,Y
130,Poult Sci,Poultry science,111,11905,0.009324,Y
131,Aging (Albany NY),Aging,109,8291,0.013147,Y
132,Cell Genom,Cell genomics,108,609,0.177340,Y
133,Mamm Genome,Mammalian genome : official journal of the International Mammalian Genome Society,105,1183,0.088757,Y
134,Arthritis Res Ther,Arthritis research & therapy,104,5495,0.018926,Y
135,Am J Respir Crit Care Med,American journal of respiratory and critical care medicine,103,11631,0.008856,Y
136,Biomedicines,Biomedicines,102,15901,0.006415,Y
137,Trends Genet,Trends in genetics : TIG,101,1847,0.054683,Y
138,J Natl Cancer Inst,Journal of the National Cancer Institute,101,5897,0.017127,Y
139,J Biol Chem,The Journal of biological chemistry,101,49067,0.002058,Y
140,Genes Brain Behav,"Genes, brain, and behavior",100,1427,0.070077,Y
141,JAMA Psychiatry,JAMA psychiatry,100,3115,0.032103,Y
142,Circ Res,Circulation research,100,6762,0.014789,Y
143,Psychiatr Genet,Psychiatric genetics,99,819,0.120879,Y
144,Hum Mutat,Human mutation,98,3398,0.028840,Y
145,Am J Psychiatry,The American journal of psychiatry,98,4425,0.022147,Y
146,J Anim Breed Genet,Journal of animal breeding and genetics = Zeitschrift fur Tierzuchtung und Zuchtungsbiologie,97,1169,0.082977,Y
147,Epigenomics,Epigenomics,96,1825,0.052603,Y
148,Schizophr Bull,Schizophrenia bulletin,96,3451,0.027818,Y
149,Mov Disord,Movement disorders : official journal of the Movement Disorder Society,96,7903,0.012147,Y
150,Mol Ecol,Molecular ecology,96,8343,0.011507,Y
151,Circulation,Circulation,96,16089,0.005967,Y
152,Front Oncol,Frontiers in oncology,96,34171,0.002809,Y
153,Neurosci Lett,Neuroscience letters,95,13564,0.007004,Y
154,Front Neurosci,Frontiers in neuroscience,95,15895,0.005977,Y
155,Cells,Cells,95,19920,0.004769,Y
156,Am J Epidemiol,American journal of epidemiology,94,6377,0.014740,Y
157,Nat Neurosci,Nature neuroscience,93,5195,0.017902,Y
158,Pharmacogenet Genomics,Pharmacogenetics and genomics,92,1304,0.070552,Y
159,Hypertension,"Hypertension (Dallas, Tex. : 1979)",92,7735,0.011894,Y
160,J Clin Invest,The Journal of clinical investigation,92,9974,0.009224,Y
161,iScience,iScience,92,14113,0.006519,Y
162,Clin Cancer Res,Clinical cancer research : an official journal of the American Association for Cancer Research,92,14137,0.006508,Y
163,Heliyon,Heliyon,92,43206,0.002129,Y
164,Heredity (Edinb),Heredity,91,2333,0.039006,Y
165,PeerJ,PeerJ,89,20441,0.004354,Y
166,Pac Symp Biocomput,Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing,87,884,0.098416,Y
167,Front Aging Neurosci,Frontiers in aging neuroscience,86,7684,0.011192,Y
168,Plant Cell Environ,"Plant, cell & environment",85,4755,0.017876,Y
169,Sci Adv,Science advances,85,17955,0.004734,Y
170,Eur Heart J,European heart journal,84,14596,0.005755,Y
171,Arthritis Rheumatol,"Arthritis & rheumatology (Hoboken, N.J.)",82,4280,0.019159,Y
172,Mol Biol Evol,Molecular biology and evolution,82,5623,0.014583,Y
173,Front Pharmacol,Frontiers in pharmacology,82,28997,0.002828,Y
174,Clin Genet,Clinical genetics,81,3836,0.021116,Y
175,J Bone Miner Res,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,81,4815,0.016822,Y
176,Clin Pharmacol Ther,Clinical pharmacology and therapeutics,81,5339,0.015171,Y
177,Inflamm Bowel Dis,Inflammatory bowel diseases,81,6580,0.012310,Y
178,Ann Neurol,Annals of neurology,80,4856,0.016474,Y
179,Adv Exp Med Biol,Advances in experimental medicine and biology,80,17285,0.004628,Y
180,N Engl J Med,The New England journal of medicine,80,27973,0.002860,Y
181,Gut,Gut,79,6258,0.012624,Y
182,Am J Clin Nutr,The American journal of clinical nutrition,79,8057,0.009805,Y
183,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,79,8908,0.008868,Y
184,Cancer Med,Cancer medicine,78,8637,0.009031,Y
185,Am J Med Genet A,American journal of medical genetics. Part A,78,9115,0.008557,Y
186,J Clin Med,Journal of clinical medicine,78,46438,0.001680,Y
187,Rice (N Y),"Rice (New York, N.Y.)",77,958,0.080376,Y
188,Animal,Animal : an international journal of animal bioscience,77,5071,0.015184,Y
189,J Am Soc Nephrol,Journal of the American Society of Nephrology : JASN,76,5904,0.012873,Y
190,Nutr Metab Cardiovasc Dis,"Nutrition, metabolism, and cardiovascular diseases : NMCD",75,3975,0.018868,Y
191,Nat Med,Nature medicine,75,8639,0.008682,Y
192,J Autoimmun,Journal of autoimmunity,73,2095,0.034845,Y
193,PLoS Pathog,PLoS pathogens,73,11848,0.006161,Y
194,Biomed Res Int,BioMed research international,73,25286,0.002887,Y
195,Mol Plant,Molecular plant,72,2908,0.024759,Y
196,Curr Opin Genet Dev,Current opinion in genetics & development,71,1865,0.038070,Y
197,J Pers Med,Journal of personalized medicine,71,7589,0.009356,Y
198,Mol Breed,Molecular breeding : new strategies in plant improvement,70,584,0.119863,Y
199,Plant Sci,Plant science : an international journal of experimental plant biology,70,4118,0.016999,Y
200,Rheumatology (Oxford),"Rheumatology (Oxford, England)",70,10440,0.006705,Y
201,Front Cell Infect Microbiol,Frontiers in cellular and infection microbiology,70,10936,0.006401,Y
202,Breast Cancer Res,Breast cancer research : BCR,69,3146,0.021933,Y
203,Curr Opin Lipidol,Current opinion in lipidology,68,1517,0.044825,Y
204,Arch Dermatol Res,Archives of dermatological research,68,3542,0.019198,Y
205,Hum Reprod,"Human reproduction (Oxford, England)",67,6795,0.009860,Y
206,Cancers (Basel),Cancers,67,34701,0.001931,Y
207,PLoS Med,PLoS medicine,66,4435,0.014882,Y
208,Lancet Neurol,The Lancet. Neurology,66,4823,0.013684,Y
209,Genet Mol Res,Genetics and molecular research : GMR,66,7258,0.009093,Y
210,BMC Psychiatry,BMC psychiatry,66,8916,0.007402,Y
211,Genet Med,Genetics in medicine : official journal of the American College of Medical Genetics,65,3852,0.016874,Y
212,Bone,Bone,65,6249,0.010402,Y
213,Kidney Int,Kidney international,65,8286,0.007845,Y
214,Breast Cancer Res Treat,Breast cancer research and treatment,65,8463,0.007680,Y
215,Br J Cancer,British journal of cancer,65,9807,0.006628,Y
216,Physiol Genomics,Physiological genomics,63,1708,0.036885,Y
217,Parkinsonism Relat Disord,Parkinsonism & related disorders,63,5727,0.011001,Y
218,Diabetes Care,Diabetes care,63,10296,0.006119,Y
219,Front Public Health,Frontiers in public health,63,25028,0.002517,Y
220,Yi Chuan,Yi chuan = Hereditas,61,2624,0.023247,Y
221,Stat Med,Statistics in medicine,61,6642,0.009184,Y
222,Hepatology,"Hepatology (Baltimore, Md.)",61,10644,0.005731,Y
223,FASEB J,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,61,11863,0.005142,Y
224,Biochem Biophys Res Commun,Biochemical and biophysical research communications,61,34594,0.001763,Y
225,JAMA,JAMA,60,26383,0.002274,Y
226,J Genet Genomics,Journal of genetics and genomics = Yi chuan xue bao,59,1951,0.030241,Y
227,Genomics Inform,Genomics & informatics,58,568,0.102113,Y
228,J Appl Genet,Journal of applied genetics,58,1262,0.045959,Y
229,Curr Diab Rep,Current diabetes reports,58,1732,0.033487,Y
230,Addict Biol,Addiction biology,58,1907,0.030414,Y
231,J Dent Res,Journal of dental research,57,3866,0.014744,Y
232,Lipids Health Dis,Lipids in health and disease,57,3958,0.014401,Y
233,Planta,Planta,57,4519,0.012613,Y
234,J Gerontol A Biol Sci Med Sci,"The journals of gerontology. Series A, Biological sciences and medical sciences",57,4840,0.011777,Y
235,Sleep,Sleep,57,5120,0.011133,Y
236,Plant Physiol Biochem,Plant physiology and biochemistry : PPB,57,8142,0.007001,Y
237,J Infect Dis,The Journal of infectious diseases,57,12359,0.004612,Y
238,Respir Res,Respiratory research,56,4404,0.012716,Y
239,Cardiovasc Res,Cardiovascular research,56,5470,0.010238,Y
240,J Cell Mol Med,Journal of cellular and molecular medicine,56,8807,0.006359,Y
241,Nat Hum Behav,Nature human behaviour,55,2179,0.025241,Y
242,BMC Pulm Med,BMC pulmonary medicine,55,4675,0.011765,Y
243,Biology (Basel),Biology,55,8783,0.006262,Y
244,Eur Respir J,The European respiratory journal,55,9528,0.005772,Y
245,Front Cell Dev Biol,Frontiers in cell and developmental biology,55,12799,0.004297,Y
246,J Am Coll Cardiol,Journal of the American College of Cardiology,55,16772,0.003279,Y
247,Alzheimers Res Ther,Alzheimer's research & therapy,54,2148,0.025140,Y
248,Eur J Epidemiol,European journal of epidemiology,54,2191,0.024646,Y
249,Mol Carcinog,Molecular carcinogenesis,54,2653,0.020354,Y
250,Plant Cell,The Plant cell,54,5859,0.009217,Y
251,Clin Rheumatol,Clinical rheumatology,54,7674,0.007037,Y
252,Neuroimage,NeuroImage,54,16680,0.003237,Y
253,Stat Appl Genet Mol Biol,Statistical applications in genetics and molecular biology,53,552,0.096014,Y
254,Cereb Cortex,"Cerebral cortex (New York, N.Y. : 1991)",53,7325,0.007235,Y
255,Biostatistics,"Biostatistics (Oxford, England)",52,1158,0.044905,Y
256,J Hypertens,Journal of hypertension,52,6639,0.007833,Y
257,Drug Alcohol Depend,Drug and alcohol dependence,52,7485,0.006947,Y
258,Gigascience,GigaScience,51,1481,0.034436,Y
259,Aging Cell,Aging cell,51,3247,0.015707,Y
260,Arthritis Rheum,Arthritis and rheumatism,51,4239,0.012031,Y
261,BMC Res Notes,BMC research notes,51,10190,0.005005,Y
262,Genes Genomics,Genes & genomics,50,1107,0.045167,Y
263,J Genet,Journal of genetics,50,1687,0.029638,Y
264,Curr Opin Rheumatol,Current opinion in rheumatology,50,1699,0.029429,Y
265,Eur Arch Psychiatry Clin Neurosci,European archives of psychiatry and clinical neuroscience,50,2374,0.021061,Y
266,Diabetol Metab Syndr,Diabetology & metabolic syndrome,50,2488,0.020096,Y
267,Acta Neuropathol,Acta neuropathologica,50,2726,0.018342,Y
268,Mol Vis,Molecular vision,50,3103,0.016113,Y
269,J Lipid Res,Journal of lipid research,50,4443,0.011254,Y
270,PLoS Biol,PLoS biology,50,6660,0.007508,Y
271,Ophthalmology,Ophthalmology,50,8301,0.006023,Y
272,Br J Dermatol,The British journal of dermatology,50,11967,0.004178,Y
273,J Comput Biol,Journal of computational biology : a journal of computational molecular cell biology,49,1930,0.025389,Y
274,Clin Cosmet Investig Dermatol,"Clinical, cosmetic and investigational dermatology",49,2256,0.021720,Y
275,Nat Rev Rheumatol,Nature reviews. Rheumatology,49,3025,0.016198,Y
276,Phytopathology,Phytopathology,49,3574,0.013710,Y
277,Curr Biol,Current biology : CB,49,15512,0.003159,Y
278,Adv Sci (Weinh),"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",49,15895,0.003083,Y
279,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",49,20079,0.002440,Y
280,J Headache Pain,The journal of headache and pain,48,2661,0.018038,Y
281,Am J Respir Cell Mol Biol,American journal of respiratory cell and molecular biology,48,3825,0.012549,Y
282,Br J Haematol,British journal of haematology,48,10757,0.004462,Y
283,Biomolecules,Biomolecules,48,12411,0.003868,Y
284,Genomics Proteomics Bioinformatics,"Genomics, proteomics & bioinformatics",47,1099,0.042766,Y
285,World J Biol Psychiatry,The world journal of biological psychiatry : the official journal of the World Federation of Societies of Biological Psychiatry,47,1362,0.034508,Y
286,Mol Genet Genomic Med,Molecular genetics & genomic medicine,47,2508,0.018740,Y
287,J Am Acad Child Adolesc Psychiatry,Journal of the American Academy of Child and Adolescent Psychiatry,47,3479,0.013510,Y
288,Eur J Med Res,European journal of medical research,47,4472,0.010510,Y
289,Cytokine,Cytokine,47,5014,0.009374,Y
290,Zhonghua Liu Xing Bing Xue Za Zhi,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,47,5941,0.007911,Y
291,J Hepatol,Journal of hepatology,47,7922,0.005933,Y
292,Lancet,"Lancet (London, England)",47,29142,0.001613,Y
293,Int J Biol Macromol,International journal of biological macromolecules,47,46329,0.001014,Y
294,Biometrics,Biometrics,46,2901,0.015857,Y
295,Alcohol Clin Exp Res,"Alcoholism, clinical and experimental research",46,4136,0.011122,Y
296,Nat Methods,Nature methods,46,5852,0.007861,Y
297,Front Vet Sci,Frontiers in veterinary science,46,11732,0.003921,Y
298,BioData Min,BioData mining,45,615,0.073171,Y
299,Skin Res Technol,Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI),45,2407,0.018695,Y
300,Cardiovasc Diabetol,Cardiovascular diabetology,45,3735,0.012048,Y
301,BMC Biol,BMC biology,44,3181,0.013832,Y
302,Prostate,The Prostate,44,3322,0.013245,Y
303,Comput Struct Biotechnol J,Computational and structural biotechnology journal,44,3634,0.012108,Y
304,Genome Biol Evol,Genome biology and evolution,44,3762,0.011696,Y
305,Exp Gerontol,Experimental gerontology,44,4233,0.010395,Y
306,Liver Int,Liver international : official journal of the International Association for the Study of the Liver,44,5818,0.007563,Y
307,Neuron,Neuron,44,8247,0.005335,Y
308,Hum Immunol,Human immunology,43,2934,0.014656,Y
309,IEEE/ACM Trans Comput Biol Bioinform,IEEE/ACM transactions on computational biology and bioinformatics,43,3013,0.014271,Y
310,J Thromb Haemost,Journal of thrombosis and haemostasis : JTH,43,7279,0.005907,Y
311,Plant Dis,Plant disease,43,8575,0.005015,Y
312,J Med Virol,Journal of medical virology,43,8811,0.004880,Y
313,Fertil Steril,Fertility and sterility,43,11885,0.003618,Y
314,JAMA Netw Open,JAMA network open,43,15108,0.002846,Y
315,Neurol Genet,Neurology. Genetics,42,953,0.044071,Y
316,Genet Test Mol Biomarkers,Genetic testing and molecular biomarkers,42,2096,0.020038,Y
317,Brain Commun,Brain communications,42,2285,0.018381,Y
318,J Integr Plant Biol,Journal of integrative plant biology,42,2342,0.017933,Y
319,Eur Neuropsychopharmacol,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,42,2758,0.015228,Y
320,Plant Cell Rep,Plant cell reports,42,3459,0.012142,Y
321,J Mol Neurosci,Journal of molecular neuroscience : MN,42,3472,0.012097,Y
322,Brain Behav Immun,"Brain, behavior, and immunity",42,5206,0.008068,Y
323,Thromb Haemost,Thrombosis and haemostasis,42,5335,0.007873,Y
324,BMC Cardiovasc Disord,BMC cardiovascular disorders,42,6195,0.006780,Y
325,Addiction,"Addiction (Abingdon, England)",42,6569,0.006394,Y
326,J Stroke Cerebrovasc Dis,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,42,7481,0.005614,Y
327,Brief Funct Genomics,Briefings in functional genomics,41,773,0.053040,Y
328,Mar Biotechnol (NY),"Marine biotechnology (New York, N.Y.)",41,1590,0.025786,Y
329,J Intern Med,Journal of internal medicine,41,2621,0.015643,Y
330,Exp Dermatol,Experimental dermatology,41,3980,0.010302,Y
331,Thorax,Thorax,41,4741,0.008648,Y
332,Neurobiol Dis,Neurobiology of disease,41,5298,0.007739,Y
333,World J Gastroenterol,World journal of gastroenterology,41,17083,0.002400,Y
334,Curr Genomics,Current genomics,40,968,0.041322,Y
335,Immunogenetics,Immunogenetics,40,1192,0.033557,Y
336,Funct Integr Genomics,Functional & integrative genomics,40,1758,0.022753,Y
337,Geroscience,GeroScience,40,2121,0.018859,Y
338,Mol Metab,Molecular metabolism,40,2149,0.018613,Y
339,Mult Scler,"Multiple sclerosis (Houndmills, Basingstoke, England)",40,4926,0.008120,Y
340,J Neurol Sci,Journal of the neurological sciences,40,8761,0.004566,Y
341,Annu Rev Genomics Hum Genet,Annual review of genomics and human genetics,39,384,0.101562,Y
342,OMICS,Omics : a journal of integrative biology,39,1289,0.030256,Y
343,Int J Womens Health,International journal of women's health,39,2155,0.018097,Y
344,Genes Dev,Genes & development,39,3672,0.010621,Y
345,Cell Metab,Cell metabolism,39,3842,0.010151,Y
346,Sci Transl Med,Science translational medicine,39,4912,0.007940,Y
347,J Cancer,Journal of Cancer,39,5498,0.007093,Y
348,Food Sci Nutr,Food science & nutrition,39,5899,0.006611,Y
349,Diabetes Obes Metab,"Diabetes, obesity & metabolism",39,5902,0.006608,Y
350,Eur J Neurol,European journal of neurology,39,6598,0.005911,Y
351,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,39,8128,0.004798,Y
352,Biochim Biophys Acta,Biochimica et biophysica acta,39,16971,0.002298,Y
353,J Anim Sci Biotechnol,Journal of animal science and biotechnology,38,1470,0.025850,Y
354,Microb Genom,Microbial genomics,38,1565,0.024281,Y
355,JAMA Neurol,JAMA neurology,38,3751,0.010131,Y
356,Int J Rheum Dis,International journal of rheumatic diseases,38,4037,0.009413,Y
357,Infect Genet Evol,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",38,5336,0.007121,Y
358,Sleep Med,Sleep medicine,38,6059,0.006272,Y
359,Pain,Pain,38,6867,0.005534,Y
360,Mol Med Rep,Molecular medicine reports,38,13853,0.002743,Y
361,Plant Commun,Plant communications,37,913,0.040526,Y
362,NPJ Parkinsons Dis,NPJ Parkinson's disease,37,1297,0.028527,Y
363,Mol Neurodegener,Molecular neurodegeneration,37,1341,0.027591,Y
364,Curr Atheroscler Rep,Current atherosclerosis reports,37,1540,0.024026,Y
365,J Neural Transm (Vienna),"Journal of neural transmission (Vienna, Austria : 1996)",37,3330,0.011111,Y
366,J Crohns Colitis,Journal of Crohn's & colitis,37,3474,0.010651,Y
367,Osteoarthritis Cartilage,Osteoarthritis and cartilage,37,4102,0.009020,Y
368,Exp Eye Res,Experimental eye research,37,5351,0.006915,Y
369,Osteoporos Int,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,37,5734,0.006453,Y
370,Allergy,Allergy,37,6019,0.006147,Y
371,Metabolites,Metabolites,37,6248,0.005922,Y
372,J Gastroenterol Hepatol,Journal of gastroenterology and hepatology,37,7259,0.005097,Y
373,Mol Cell,Molecular cell,37,7441,0.004972,Y
374,Int Immunopharmacol,International immunopharmacology,37,13950,0.002652,Y
375,J Neurosci,The Journal of neuroscience : the official journal of the Society for Neuroscience,37,22946,0.001612,Y
376,Int J Cardiol,International journal of cardiology,37,24932,0.001484,Y
377,Curr Opin Allergy Clin Immunol,Current opinion in allergy and clinical immunology,36,1645,0.021884,Y
378,Sci China Life Sci,Science China. Life sciences,36,3441,0.010462,Y
379,Postgrad Med J,Postgraduate medical journal,36,3645,0.009877,Y
380,Physiol Plant,Physiologia plantarum,36,3966,0.009077,Y
381,JCI Insight,JCI insight,36,5002,0.007197,Y
