year,rank_share,journal_key,full_title,gwas_hits,total_articles,fraction_gwas
2007,52,Epidemiology,"Epidemiology (Cambridge, Mass.)",1,146,0.006849
2007,53,J Mol Med (Berl),"Journal of molecular medicine (Berlin, Germany)",1,146,0.006849
2007,54,Autophagy,Autophagy,1,148,0.006757
2007,55,Bioessays,"BioEssays : news and reviews in molecular, cellular and developmental biology",1,149,0.006711
2007,56,Nat Clin Pract Nephrol,Nature clinical practice. Nephrology,1,155,0.006452
2007,57,Rinsho Byori,Rinsho byori. The Japanese journal of clinical pathology,1,159,0.006289
2007,58,Brain Nerve,Brain and nerve = Shinkei kenkyu no shinpo,1,162,0.006173
2007,59,Rinsho Shinkeigaku,Rinsho shinkeigaku = Clinical neurology,1,162,0.006173
2007,60,Pharmacogenomics,Pharmacogenomics,1,169,0.005917
2007,61,Parkinsonism Relat Disord,Parkinsonism & related disorders,1,170,0.005882
2007,62,Gastroenterology,Gastroenterology,3,579,0.005181
2007,63,Zhonghua Yan Ke Za Zhi,[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,1,194,0.005155
2007,64,J Clin Psychiatry,The Journal of clinical psychiatry,2,403,0.004963
2007,65,Bioinformatics,"Bioinformatics (Oxford, England)",3,689,0.004354
2007,66,Yi Chuan,Yi chuan = Hereditas,1,236,0.004237
2007,67,Int J Epidemiol,International journal of epidemiology,1,239,0.004184
2007,68,BMC Genomics,BMC genomics,2,479,0.004175
2007,69,Am J Gastroenterol,The American journal of gastroenterology,2,484,0.004132
2007,70,Inflamm Bowel Dis,Inflammatory bowel diseases,1,250,0.004000
2007,71,Diabet Med,Diabetic medicine : a journal of the British Diabetic Association,1,261,0.003831
2007,72,Cell Mol Life Sci,Cellular and molecular life sciences : CMLS,1,276,0.003623
2007,73,Science,"Science (New York, N.Y.)",8,2244,0.003565
2007,74,Clin Gastroenterol Hepatol,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,1,297,0.003367
2007,75,Zhonghua Er Ke Za Zhi,Zhonghua er ke za zhi = Chinese journal of pediatrics,1,298,0.003356
2007,76,Diabetologia,Diabetologia,1,344,0.002907
2007,77,Nat Protoc,Nature protocols,1,359,0.002786
2007,78,J Natl Cancer Inst,Journal of the National Cancer Institute,1,370,0.002703
2007,79,Eur J Immunol,European journal of immunology,1,371,0.002695
2007,80,Nature,Nature,6,2267,0.002647
2007,81,Neuroreport,Neuroreport,1,390,0.002564
2007,82,Am Heart J,American heart journal,1,404,0.002475
2007,83,Front Biosci,Frontiers in bioscience : a journal and virtual library,1,413,0.002421
2007,84,Cancer Epidemiol Biomarkers Prev,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",1,454,0.002203
2007,85,Cancer Lett,Cancer letters,1,470,0.002128
2007,86,Nan Fang Yi Ke Da Xue Xue Bao,Nan fang yi ke da xue xue bao = Journal of Southern Medical University,1,471,0.002123
2007,87,J Thromb Haemost,Journal of thrombosis and haemostasis : JTH,1,482,0.002075
2007,88,Circulation,Circulation,2,1153,0.001735
2007,89,BMC Bioinformatics,BMC bioinformatics,1,590,0.001695
2007,90,Methods Mol Biol,"Methods in molecular biology (Clifton, N.J.)",2,1243,0.001609
2007,91,Stroke,Stroke,1,628,0.001592
2007,92,Eur Urol,European urology,1,697,0.001435
2007,93,Curr Biol,Current biology : CB,1,710,0.001408
2007,94,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,1,1053,0.000950
2007,95,Brain Res,Brain research,1,1227,0.000815
2007,96,N Engl J Med,The New England journal of medicine,1,1476,0.000678
2007,97,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,1,1488,0.000672
2007,98,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,1,3671,0.000272
2008,1,Nat Genet,Nature genetics,48,295,0.162712
2008,2,Genet Epidemiol,Genetic epidemiology,11,71,0.154930
2008,3,Adv Genet,Advances in genetics,8,52,0.153846
2008,4,Biostatistics,"Biostatistics (Oxford, England)",6,57,0.105263
2008,5,BMC Med Genet,BMC medical genetics,10,120,0.083333
2008,6,Nat Rev Genet,Nature reviews. Genetics,8,96,0.083333
2008,7,Am J Hum Genet,American journal of human genetics,17,219,0.077626
2008,8,Eur J Hum Genet,European journal of human genetics : EJHG,15,210,0.071429
2008,9,Novartis Found Symp,Novartis Foundation symposium,4,58,0.068966
2008,10,Ann Hum Genet,Annals of human genetics,6,89,0.067416
2008,11,J Cardiovasc Transl Res,Journal of cardiovascular translational research,4,62,0.064516
2008,12,Am J Med Genet B Neuropsychiatr Genet,"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics",14,231,0.060606
2008,13,PLoS Genet,PLoS genetics,20,352,0.056818
2008,14,BMC Genet,BMC genetics,5,92,0.054348
2008,15,J Hum Genet,Journal of human genetics,7,133,0.052632
2008,16,Mol Psychiatry,Molecular psychiatry,6,119,0.050420
2008,17,Curr Opin Lipidol,Current opinion in lipidology,5,101,0.049505
2008,18,Per Med,Personalized medicine,4,83,0.048193
2008,19,Hum Mol Genet,Human molecular genetics,19,396,0.047980
2008,20,Expert Rev Mol Diagn,Expert review of molecular diagnostics,3,68,0.044118
2008,21,Curr Opin Clin Nutr Metab Care,Current opinion in clinical nutrition and metabolic care,5,117,0.042735
2008,22,Diabetes,Diabetes,18,431,0.041763
2008,23,Hum Genet,Human genetics,11,294,0.037415
2008,24,Curr Atheroscler Rep,Current atherosclerosis reports,3,85,0.035294
2008,25,Genes Immun,Genes and immunity,3,89,0.033708
2008,26,Trends Mol Med,Trends in molecular medicine,2,61,0.032787
2008,27,J Genet Genomics,Journal of genetics and genomics = Yi chuan xue bao,3,92,0.032609
2008,28,Genomics,Genomics,4,126,0.031746
2008,29,BMC Med Genomics,BMC medical genomics,2,64,0.031250
2008,30,Curr Opin Cardiol,Current opinion in cardiology,3,97,0.030928
2008,31,Diabetologia,Diabetologia,9,312,0.028846
2008,32,Expert Opin Med Diagn,Expert opinion on medical diagnostics,3,110,0.027273
2008,33,Curr Neurol Neurosci Rep,Current neurology and neuroscience reports,2,75,0.026667
2008,34,Curr Diab Rep,Current diabetes reports,2,78,0.025641
2008,35,Curr Opin Rheumatol,Current opinion in rheumatology,3,118,0.025424
2008,36,Arch Gen Psychiatry,Archives of general psychiatry,4,158,0.025316
2008,37,Pharmacogenet Genomics,Pharmacogenetics and genomics,3,119,0.025210
2008,38,Nat Rev Immunol,Nature reviews. Immunology,2,83,0.024096
2008,39,Curr Opin Genet Dev,Current opinion in genetics & development,2,85,0.023529
2008,40,J Intern Med,Journal of internal medicine,3,129,0.023256
2008,41,J Comput Biol,Journal of computational biology : a journal of computational molecular cell biology,2,86,0.023256
2008,42,Curr Hypertens Rep,Current hypertension reports,2,87,0.022989
2008,43,Trends Genet,Trends in genetics : TIG,2,93,0.021505
2008,44,Stat Appl Genet Mol Biol,Statistical applications in genetics and molecular biology,1,50,0.020000
2008,45,Genome Res,Genome research,4,203,0.019704
2008,46,Epidemiology,"Epidemiology (Cambridge, Mass.)",3,156,0.019231
2008,47,BMC Neurol,BMC neurology,1,52,0.019231
2008,48,Behav Genet,Behavior genetics,1,53,0.018868
2008,49,Curr Opin Gastroenterol,Current opinion in gastroenterology,2,107,0.018692
2008,50,Clin Chest Med,Clinics in chest medicine,1,54,0.018519
2008,51,Neurotox Res,Neurotoxicity research,1,54,0.018519
2008,52,Pac Symp Biocomput,Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing,1,54,0.018519
2008,53,Int J Stroke,International journal of stroke : official journal of the International Stroke Society,1,55,0.018182
2008,54,Pharmacogenomics,Pharmacogenomics,3,166,0.018072
2008,55,Nat Rev Drug Discov,Nature reviews. Drug discovery,2,111,0.018018
2008,56,Genes Brain Behav,"Genes, brain, and behavior",2,112,0.017857
2008,57,Bull NYU Hosp Jt Dis,Bulletin of the NYU hospital for joint diseases,1,56,0.017857
2008,58,Curr Treat Options Cardiovasc Med,Current treatment options in cardiovascular medicine,1,56,0.017857
2008,59,Hum Reprod Update,Human reproduction update,1,57,0.017544
2008,60,Trends Endocrinol Metab,Trends in endocrinology and metabolism: TEM,1,57,0.017544
2008,61,Curr Genomics,Current genomics,1,58,0.017241
2008,62,J Nurs Scholarsh,Journal of nursing scholarship : an official publication of Sigma Theta Tau International Honor Society of Nursing,1,58,0.017241
2008,63,Dev Biol (Basel),Developments in biologicals,2,118,0.016949
2008,64,Curr Genet,Current genetics,1,60,0.016667
2008,65,Psychiatr Genet,Psychiatric genetics,1,60,0.016667
2008,66,Clin Transl Sci,Clinical and translational science,1,61,0.016393
2008,67,Genomic Med,Genomic medicine,1,61,0.016393
2008,68,Mutagenesis,Mutagenesis,1,61,0.016393
2008,69,Rheum Dis Clin North Am,Rheumatic diseases clinics of North America,1,61,0.016393
2008,70,Cancer Epidemiol Biomarkers Prev,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",8,509,0.015717
2008,71,Obesity (Silver Spring),"Obesity (Silver Spring, Md.)",7,456,0.015351
2008,72,Prostate Cancer Prostatic Dis,Prostate cancer and prostatic diseases,1,66,0.015152
2008,73,Methods Mol Med,Methods in molecular medicine,1,67,0.014925
2008,74,Semin Respir Crit Care Med,Seminars in respiratory and critical care medicine,1,68,0.014706
2008,75,J Mol Med (Berl),"Journal of molecular medicine (Berlin, Germany)",2,139,0.014388
2008,76,Minerva Ginecol,Minerva ginecologica,1,71,0.014085
2008,77,Mucosal Immunol,Mucosal immunology,1,71,0.014085
2008,78,Arthritis Res Ther,Arthritis research & therapy,3,214,0.014019
2008,79,Cancer J,"Cancer journal (Sudbury, Mass.)",1,72,0.013889
2008,80,Expert Rev Clin Immunol,Expert review of clinical immunology,1,72,0.013889
2008,81,Med Clin North Am,The Medical clinics of North America,1,74,0.013514
2008,82,Twin Res Hum Genet,Twin research and human genetics : the official journal of the International Society for Twin Studies,1,74,0.013514
2008,83,Best Pract Res Clin Endocrinol Metab,Best practice & research. Clinical endocrinology & metabolism,1,75,0.013333
2008,84,Methods Inf Med,Methods of information in medicine,1,75,0.013333
2008,85,Int J Androl,International journal of andrology,1,76,0.013158
2008,86,Exp Mol Med,Experimental & molecular medicine,1,78,0.012821
2008,87,BMC Bioinformatics,BMC bioinformatics,9,708,0.012712
2008,88,Biom J,Biometrical journal. Biometrische Zeitschrift,1,79,0.012658
2008,89,Curr Mol Med,Current molecular medicine,1,80,0.012500
2008,90,Bioinformatics,"Bioinformatics (Oxford, England)",8,653,0.012251
2008,91,Cancer Prev Res (Phila),"Cancer prevention research (Philadelphia, Pa.)",1,83,0.012048
2008,92,Mol Med,"Molecular medicine (Cambridge, Mass.)",1,83,0.012048
2008,93,Semin Thromb Hemost,Seminars in thrombosis and hemostasis,1,88,0.011364
2008,94,Brain Nerve,Brain and nerve = Shinkei kenkyu no shinpo,2,178,0.011236
2008,95,J Natl Cancer Inst,Journal of the National Cancer Institute,4,357,0.011204
2008,96,Curr Opin Pulm Med,Current opinion in pulmonary medicine,1,90,0.011111
2008,97,Cytogenet Genome Res,Cytogenetic and genome research,2,185,0.010811
2008,98,Curr Opin Nephrol Hypertens,Current opinion in nephrology and hypertension,1,93,0.010753
2008,99,Obes Rev,Obesity reviews : an official journal of the International Association for the Study of Obesity,1,93,0.010753
2008,100,Curr Gastroenterol Rep,Current gastroenterology reports,1,96,0.010417
2008,101,J Neural Transm (Vienna),"Journal of neural transmission (Vienna, Austria : 1996)",2,197,0.010152
2008,102,Curr Opin Allergy Clin Immunol,Current opinion in allergy and clinical immunology,1,99,0.010101
2008,103,Epidemiol Prev,Epidemiologia e prevenzione,1,99,0.010101
2008,104,Genome Biol,Genome biology,3,298,0.010067
2008,105,Genes Cells,Genes to cells : devoted to molecular & cellular mechanisms,1,100,0.010000
2008,106,J Autoimmun,Journal of autoimmunity,1,100,0.010000
2008,107,J Clin Endocrinol Metab,The Journal of clinical endocrinology and metabolism,7,717,0.009763
2008,108,Curr Opin HIV AIDS,Current opinion in HIV and AIDS,1,103,0.009709
2008,109,PLoS One,PloS one,26,2716,0.009573
2008,110,J Pediatr (Rio J),Jornal de pediatria,1,108,0.009259
2008,111,J Neuropathol Exp Neurol,Journal of neuropathology and experimental neurology,1,112,0.008929
2008,112,Urol Oncol,Urologic oncology,1,112,0.008929
2008,113,BMC Genomics,BMC genomics,6,685,0.008759
2008,114,Nutr Rev,Nutrition reviews,1,115,0.008696
2008,115,Clin Chem,Clinical chemistry,3,362,0.008287
2008,116,Drug Alcohol Depend,Drug and alcohol dependence,2,251,0.007968
2008,117,Yi Chuan,Yi chuan = Hereditas,2,252,0.007937
2008,118,Blood Cells Mol Dis,"Blood cells, molecules & diseases",1,126,0.007937
2008,119,Hum Immunol,Human immunology,1,126,0.007937
2008,120,Arterioscler Thromb Vasc Biol,"Arteriosclerosis, thrombosis, and vascular biology",3,384,0.007812
2008,121,Schizophr Res,Schizophrenia research,3,386,0.007772
2008,122,Rejuvenation Res,Rejuvenation research,1,131,0.007634
2008,123,Rev Med Liege,Revue medicale de Liege,1,133,0.007519
2008,124,Physiol Genomics,Physiological genomics,1,136,0.007353
2008,125,Cell Host Microbe,Cell host & microbe,1,139,0.007194
2008,126,J Med Genet,Journal of medical genetics,1,141,0.007092
2008,127,Proc Am Thorac Soc,Proceedings of the American Thoracic Society,1,142,0.007042
2008,128,Internist (Berl),Der Internist,1,147,0.006803
2008,129,Exp Gerontol,Experimental gerontology,1,148,0.006757
2008,130,J Hum Hypertens,Journal of human hypertension,1,148,0.006757
2008,131,Nat Clin Pract Rheumatol,Nature clinical practice. Rheumatology,1,150,0.006667
2008,132,PLoS Biol,PLoS biology,2,306,0.006536
2008,133,Int J Obes (Lond),International journal of obesity (2005),2,314,0.006369
2008,134,Nat Clin Pract Endocrinol Metab,Nature clinical practice. Endocrinology & metabolism,1,157,0.006369
2008,135,Horm Metab Res,Hormone and metabolic research = Hormon- und Stoffwechselforschung = Hormones et metabolisme,1,158,0.006329
2008,136,Epilepsy Res,Epilepsy research,1,159,0.006289
2008,137,Clin Genet,Clinical genetics,1,160,0.006250
2008,138,Bull Cancer,Bulletin du cancer,1,161,0.006211
2008,139,Oral Oncol,Oral oncology,1,167,0.005988
2008,140,Biol Psychiatry,Biological psychiatry,2,337,0.005935
2008,141,BMC Infect Dis,BMC infectious diseases,1,174,0.005747
2008,142,J Burn Care Res,Journal of burn care & research : official publication of the American Burn Association,1,176,0.005682
2008,143,Mol Genet Metab,Molecular genetics and metabolism,1,176,0.005682
2008,144,Clin Calcium,Clinical calcium,1,177,0.005650
2008,145,Nat Methods,Nature methods,1,177,0.005650
2008,146,Dig Liver Dis,Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,1,178,0.005618
2008,147,Breast Cancer Res,Breast cancer research : BCR,1,182,0.005495
2008,148,J Clin Epidemiol,Journal of clinical epidemiology,1,182,0.005495
2008,149,Am J Gastroenterol,The American journal of gastroenterology,3,548,0.005474
2008,150,Prostate,The Prostate,1,185,0.005405
2008,151,Neurobiol Aging,Neurobiology of aging,1,189,0.005291
2008,152,J Am Acad Child Adolesc Psychiatry,Journal of the American Academy of Child and Adolescent Psychiatry,1,191,0.005236
2008,153,Neurobiol Dis,Neurobiology of disease,1,197,0.005076
2008,154,Can J Cardiol,The Canadian journal of cardiology,1,199,0.005025
2008,155,Asia Pac J Clin Nutr,Asia Pacific journal of clinical nutrition,1,200,0.005000
2008,156,Int J Hematol,International journal of hematology,1,206,0.004854
2008,157,Lancet Neurol,The Lancet. Neurology,1,208,0.004808
2008,158,J Neurol,Journal of neurology,2,422,0.004739
2008,159,Int J Mol Med,International journal of molecular medicine,1,214,0.004673
2008,160,Dev Cell,Developmental cell,1,216,0.004630
2008,161,Int J Epidemiol,International journal of epidemiology,1,220,0.004545
2008,162,Mol Endocrinol,"Molecular endocrinology (Baltimore, Md.)",1,227,0.004405
2008,163,Theor Appl Genet,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,1,230,0.004348
2008,164,PLoS Med,PLoS medicine,1,235,0.004255
2008,165,Rheumatology (Oxford),"Rheumatology (Oxford, England)",2,477,0.004193
2008,166,Eur Respir J,The European respiratory journal,2,483,0.004141
2008,167,Pediatr Res,Pediatric research,1,247,0.004049
2008,168,Clin Exp Pharmacol Physiol,Clinical and experimental pharmacology & physiology,1,248,0.004032
2008,169,Clin Exp Immunol,Clinical and experimental immunology,1,250,0.004000
2008,170,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,4,1001,0.003996
2008,171,Ann Neurol,Annals of neurology,1,252,0.003968
2008,172,Eur J Vasc Endovasc Surg,European journal of vascular and endovascular surgery : the official journal of the European Society for Vascular Surgery,1,254,0.003937
2008,173,CSH Protoc,CSH protocols,1,256,0.003906
2008,174,Am J Hematol,American journal of hematology,1,263,0.003802
2008,175,Zhonghua Xin Xue Guan Bing Za Zhi,Zhonghua xin xue guan bing za zhi,1,263,0.003802
2008,176,Arthritis Rheum,Arthritis and rheumatism,3,800,0.003750
2008,177,Tanpakushitsu Kakusan Koso,"Tanpakushitsu kakusan koso. Protein, nucleic acid, enzyme",1,272,0.003676
2008,178,Zhonghua Er Ke Za Zhi,Zhonghua er ke za zhi = Chinese journal of pediatrics,1,276,0.003623
2008,179,Cell Cycle,"Cell cycle (Georgetown, Tex.)",2,565,0.003540
2008,180,Arch Neurol,Archives of neurology,1,287,0.003484
2008,181,Expert Opin Pharmacother,Expert opinion on pharmacotherapy,1,292,0.003425
2008,182,Addiction,"Addiction (Abingdon, England)",1,300,0.003333
2008,183,Pediatr Nephrol,"Pediatric nephrology (Berlin, Germany)",1,301,0.003322
2008,184,Clin Endocrinol (Oxf),Clinical endocrinology,1,303,0.003300
2008,185,Gene,Gene,1,308,0.003247
2008,186,Cancer Res,Cancer research,4,1238,0.003231
2008,187,Gastroenterology,Gastroenterology,2,621,0.003221
2008,188,Cell Mol Life Sci,Cellular and molecular life sciences : CMLS,1,311,0.003215
2008,189,Genes Dev,Genes & development,1,320,0.003125
2008,190,Ann Dermatol Venereol,Annales de dermatologie et de venereologie,1,339,0.002950
2008,191,Cancer Sci,Cancer science,1,350,0.002857
2008,192,Gut,Gut,1,350,0.002857
2008,193,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,1,352,0.002841
2008,194,N Engl J Med,The New England journal of medicine,4,1419,0.002819
2008,195,Crit Care,"Critical care (London, England)",1,355,0.002817
2008,196,J Hypertens,Journal of hypertension,1,357,0.002801
2008,197,Curr Pharm Des,Current pharmaceutical design,1,365,0.002740
2008,198,Nature,Nature,6,2210,0.002715
2008,199,Biochem Pharmacol,Biochemical pharmacology,1,377,0.002653
2008,200,Circ J,Circulation journal : official journal of the Japanese Circulation Society,1,379,0.002639
2008,201,Diabetes Res Clin Pract,Diabetes research and clinical practice,1,381,0.002625
2008,202,New Phytol,The New phytologist,1,384,0.002604
2008,203,Ann Rheum Dis,Annals of the rheumatic diseases,1,398,0.002513
2008,204,Behav Brain Res,Behavioural brain research,1,405,0.002469
2008,205,Hum Reprod,"Human reproduction (Oxford, England)",1,405,0.002469
2008,206,Inflamm Bowel Dis,Inflammatory bowel diseases,1,407,0.002457
2008,207,Thromb Haemost,Thrombosis and haemostasis,1,407,0.002457
2008,208,J Clin Invest,The Journal of clinical investigation,1,436,0.002294
2008,209,J Cell Biol,The Journal of cell biology,1,450,0.002222
2008,210,J Rheumatol,The Journal of rheumatology,1,467,0.002141
2008,211,Am J Physiol Regul Integr Comp Physiol,"American journal of physiology. Regulatory, integrative and comparative physiology",1,476,0.002101
2008,212,Lancet,"Lancet (London, England)",3,1462,0.002052
2008,213,Hepatogastroenterology,Hepato-gastroenterology,1,496,0.002016
2008,214,Hypertension,"Hypertension (Dallas, Tex. : 1979)",1,497,0.002012
2008,215,J Gastroenterol Hepatol,Journal of gastroenterology and hepatology,1,501,0.001996
2008,216,JAMA,JAMA,2,1014,0.001972
2008,217,Br J Haematol,British journal of haematology,1,507,0.001972
2008,218,Clin Cancer Res,Clinical cancer research : an official journal of the American Association for Cancer Research,2,1053,0.001899
2008,219,Nucleic Acids Res,Nucleic acids research,2,1072,0.001866
2008,220,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,1,559,0.001789
2008,221,Electrophoresis,Electrophoresis,1,563,0.001776
2008,222,Eur Heart J,European heart journal,1,569,0.001757
2008,223,Front Biosci,Frontiers in bioscience : a journal and virtual library,1,570,0.001754
2008,224,J Infect Dis,The Journal of infectious diseases,1,581,0.001721
2008,225,Genetics,Genetics,1,588,0.001701
2008,226,World J Gastroenterol,World journal of gastroenterology,2,1199,0.001668
2008,227,Stroke,Stroke,1,612,0.001634
2008,228,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,6,3747,0.001601
2008,229,BJU Int,BJU international,1,657,0.001522
2008,230,Neurosurgery,Neurosurgery,1,663,0.001508
2008,231,Invest Ophthalmol Vis Sci,Investigative ophthalmology & visual science,1,723,0.001383
2008,232,Science,"Science (New York, N.Y.)",3,2232,0.001344
2008,233,Blood,Blood,2,1508,0.001326
2008,234,Neuroimage,NeuroImage,1,755,0.001325
2008,235,Int J Cancer,International journal of cancer,1,802,0.001247
2008,236,Ugeskr Laeger,Ugeskrift for laeger,1,824,0.001214
2008,237,Circulation,Circulation,1,970,0.001031
2008,238,Vaccine,Vaccine,1,987,0.001013
2008,239,Brain Res,Brain research,1,1194,0.000838
2008,240,Biochem Biophys Res Commun,Biochemical and biophysical research communications,1,2104,0.000475
2009,1,Genet Epidemiol,Genetic epidemiology,57,92,0.619565
2009,2,BMC Proc,BMC proceedings,78,176,0.443182
2009,3,Nat Genet,Nature genetics,109,262,0.416031
2009,4,Hum Hered,Human heredity,18,55,0.327273
2009,5,Circ Cardiovasc Genet,Circulation. Cardiovascular genetics,22,86,0.255814
2009,6,BMC Med Genet,BMC medical genetics,37,149,0.248322
2009,7,Am J Hum Genet,American journal of human genetics,39,176,0.221591
2009,8,Nat Rev Genet,Nature reviews. Genetics,17,86,0.197674
2009,9,Genes Immun,Genes and immunity,21,110,0.190909
2009,10,Mol Psychiatry,Molecular psychiatry,24,126,0.190476
2009,11,Genome Med,Genome medicine,20,123,0.162602
2009,12,Ann Hum Genet,Annals of human genetics,11,69,0.159420
2009,13,J Hum Genet,Journal of human genetics,17,124,0.137097
2009,14,Psychiatr Genet,Psychiatric genetics,9,67,0.134328
2009,15,BMC Genet,BMC genetics,11,89,0.123596
2009,16,Hum Mol Genet,Human molecular genetics,56,462,0.121212
2009,17,Brief Funct Genomic Proteomic,Briefings in functional genomics & proteomics,6,50,0.120000
2009,18,Semin Immunol,Seminars in immunology,6,51,0.117647
2009,19,Pharmacogenomics,Pharmacogenomics,18,164,0.109756
2009,20,PLoS Genet,PLoS genetics,52,474,0.109705
2009,21,Eur J Hum Genet,European journal of human genetics : EJHG,24,233,0.103004
2009,22,Hum Genet,Human genetics,24,235,0.102128
2009,23,Anim Genet,Animal genetics,16,166,0.096386
2009,24,Biostatistics,"Biostatistics (Oxford, England)",6,64,0.093750
2009,25,Genome Res,Genome research,20,234,0.085470
2009,26,Trends Genet,Trends in genetics : TIG,7,82,0.085366
2009,27,Am J Med Genet B Neuropsychiatr Genet,"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics",12,145,0.082759
2009,28,Pharmacogenomics J,The pharmacogenomics journal,4,50,0.080000
2009,29,Mol Med,"Molecular medicine (Cambridge, Mass.)",4,54,0.074074
2009,30,Diabetes,Diabetes,25,375,0.066667
2009,31,Neuropsychobiology,Neuropsychobiology,4,61,0.065574
2009,32,BMC Psychiatry,BMC psychiatry,5,81,0.061728
2009,33,Endocr Rev,Endocrine reviews,3,50,0.060000
